Run,Detector,Yield,Yield err,Fit Status
run0178,det_h0-6,1.32958,0.0477867,0
run0178,det_h0-7,1.00927,0.0603059,0
run0178,det_h1-0,0.69981,0.197805,0
run0178,det_h1-1,1.87567e-12,0.00568979,0
run0178,det_h1-2,0.685272,0.300276,0
run0178,det_h1-3,0.384667,0.209246,0
run0178,det_h1-4,1.37161,0.0635986,0
run0179,det_h0-0,1.0258,0.120204,0
run0179,det_h0-1,0.78352,0.121696,0
run0179,det_h0-2,0.477747,0.0327319,0
run0179,det_h0-3,0.844285,0.0432507,0
run0179,det_h0-4,5.89154e-10,0.0113528,0
run0179,det_h0-5,0.889126,0.097939,0
run0179,det_h0-6,1.05082,0.049822,0
run0179,det_h0-7,0.524726,0.17971,0
run0179,det_h1-0,0.772025,0.0985173,0
run0179,det_h1-1,4.35852e-12,0.00828301,0
run0179,det_h1-2,0.00785122,0.0103188,0
run0179,det_h1-3,2.59376e-11,6.20848,0
run0179,det_h1-4,5.68299e-09,0.0643567,0
run0180,det_h0-0,0.827621,0.0946622,0
run0180,det_h0-1,0.999715,0.0547853,0
run0180,det_h0-2,2.645e-10,0.00582069,0
run0180,det_h0-3,0.618532,0.44309,0
run0180,det_h0-4,0.652304,0.129459,0
run0180,det_h0-5,0.31489,0.493775,0
run0180,det_h0-6,0.875175,0.0850482,0
run0180,det_h0-7,0.0257601,0.0115837,0
run0180,det_h1-0,0.778401,0.0487951,0
run0180,det_h1-1,1.46021e-09,0.276344,0
run0180,det_h1-2,0.477219,0.0435701,0
run0180,det_h1-3,9.00548e-11,0.0250731,0
run0180,det_h1-4,0.0222632,0.021007,0
run0181,det_h0-0,0.838344,0.0929186,0
run0181,det_h0-1,0.383183,0.190928,0
run0181,det_h0-2,0.23262,0.276031,0
run0181,det_h0-3,0.770942,0.103874,0
run0181,det_h0-4,0.437934,0.390723,0
run0181,det_h0-5,7.10586e-11,0.0181232,0
run0181,det_h0-6,0.88044,0.0539604,0
run0181,det_h0-7,0.599314,0.09446,0
run0181,det_h1-0,9.75523e-08,0.529714,0
run0181,det_h1-1,2.7716e-13,0.00786354,0
run0181,det_h1-2,0.0410823,0.0151384,0
run0181,det_h1-3,1.03418e-09,0.0224729,0
run0181,det_h1-4,0.811075,0.110433,0
run0183,det_h0-0,0.83381,0.0636697,0
run0183,det_h0-1,0.83798,0.110891,0
run0183,det_h0-2,0.0974999,0.0675446,0
run0183,det_h0-3,0.320372,0.150609,0
run0183,det_h0-4,0.0273069,0.0253419,0
run0183,det_h0-5,0.530447,0.138839,0
run0183,det_h0-6,0.69023,0.0673601,0
run0183,det_h0-7,0.740119,0.420043,0
run0183,det_h1-0,0.555719,0.0669359,0
run0183,det_h1-1,0.135755,0.148578,0
run0183,det_h1-2,0.00878212,0.00456504,0
run0183,det_h1-3,2.45322e-10,0.0262524,0
run0183,det_h1-4,0.467743,0.228286,0
run0184,det_h0-0,0.287722,0.16191,0
run0184,det_h0-1,1.04714,0.0731208,0
run0184,det_h0-2,0.408458,0.0644234,0
run0184,det_h0-3,1.38972e-11,0.0302914,0
run0184,det_h0-4,0.650501,0.0693499,0
run0184,det_h0-5,0.818177,0.0754144,0
run0184,det_h0-6,0.600858,0.227641,0
run0184,det_h0-7,0.746128,0.0729706,0
run0184,det_h1-0,1.0184e-09,0.0370949,0
run0184,det_h1-1,0.269044,0.062408,0
run0184,det_h1-2,0.00527049,0.0132825,0
run0184,det_h1-3,3.67439e-10,0.0465167,0
run0184,det_h1-4,2.4007e-10,0.0124772,0
run0185,det_h0-0,0.626194,0.463699,0
run0185,det_h0-1,0.0168687,0.0427706,0
run0185,det_h0-2,0.321782,0.167855,0
run0185,det_h0-3,0.013922,0.0496283,0
run0185,det_h0-4,0.0133725,0.0129151,0
run0185,det_h0-5,0.0297908,0.199934,0
run0185,det_h0-6,1.19421e-08,0.220995,0
run0185,det_h0-7,0.00654667,0.0149504,0
run0185,det_h1-0,0.665699,0.103915,0
run0185,det_h1-1,0.117213,0.105806,0
run0185,det_h1-2,0.473684,0.0570895,0
run0185,det_h1-3,2.68642e-13,0.0308218,0
run0185,det_h1-4,0.585578,0.145364,0
run0186,det_h0-0,0.779041,0.0903648,0
run0186,det_h0-1,0.799903,0.206927,0
run0186,det_h0-2,0.345739,0.0436593,0
run0186,det_h0-3,0.223259,0.096602,0
run0186,det_h0-4,0.980757,0.106013,0
run0186,det_h0-5,0.0203105,0.0126542,0
run0186,det_h0-6,0.0122927,0.102386,0
run0186,det_h0-7,0.0776569,0.238819,0
run0186,det_h1-0,0.86446,0.0892689,0
run0186,det_h1-1,1.81222e-10,0.0241781,0
run0186,det_h1-2,0.0899398,0.106908,0
run0186,det_h1-3,0.109784,0.113717,0
run0186,det_h1-4,6.67423e-11,0.0189446,0
run0187,det_h0-0,0.633897,0.209734,0
run0187,det_h0-1,0.636965,0.225732,0
run0187,det_h0-2,0.249178,0.158659,0
run0187,det_h0-3,0.366375,0.325505,0
run0187,det_h0-4,1.83364e-13,0.0045692,0
run0187,det_h0-5,0.679967,0.327994,0
run0187,det_h0-6,5.02028e-12,0.00807607,0
run0187,det_h0-7,0.420501,0.313184,0
run0187,det_h1-0,2.71818e-10,0.0707014,0
run0187,det_h1-1,0.445297,0.150577,0
run0187,det_h1-2,6.02081e-09,0.0410379,0
run0187,det_h1-3,1.69985e-10,0.0130338,0
run0187,det_h1-4,6.34906e-09,0.0206151,0
run0188,det_h0-0,1.14568,0.0788389,0
run0188,det_h0-1,1.4559,0.106965,0
run0188,det_h0-2,0.303102,0.0574963,0
run0188,det_h0-3,0.86165,0.112223,0
run0188,det_h0-4,1.185,0.140166,0
run0188,det_h0-5,0.0498633,0.0424068,0
run0188,det_h0-6,0.656377,0.146074,0
run0188,det_h0-7,4.94529e-11,0.022998,0
run0188,det_h1-0,0.192928,0.270521,0
run0188,det_h1-1,1.23582e-10,0.057128,0
run0188,det_h1-2,0.431242,0.159564,0
run0188,det_h1-3,3.03726e-09,0.110738,0
run0188,det_h1-4,1.36246,0.178825,0
run0189,det_h0-0,1.08769,0.556206,0
run0189,det_h0-1,3.3029e-12,0.00657466,0
run0189,det_h0-2,0.0286767,0.0321185,0
run0189,det_h0-3,1.0532,0.0851169,0
run0189,det_h0-4,1.01897,0.192672,0
run0189,det_h0-5,0.893292,0.323485,0
run0189,det_h0-6,3.67749e-09,0.146946,0
run0189,det_h0-7,6.24982e-07,2.58566,0
run0189,det_h1-0,0.767988,0.0622114,0
run0189,det_h1-1,3.5277e-14,0.00146893,0
run0189,det_h1-2,9.21848e-10,0.0751186,0
run0189,det_h1-3,0,0.0684961,0
run0189,det_h1-4,1.3344e-12,0.00393041,0
run0190,det_h0-0,1.33209,0.139099,0
run0190,det_h0-1,0.888627,0.165665,0
run0190,det_h0-2,0.000768149,0.956145,0
run0190,det_h0-3,0.994308,0.0680348,0
run0190,det_h0-4,1.10051,0.0763127,0
run0190,det_h0-5,1.00299,0.176659,0
run0190,det_h0-6,1.16938,0.0611267,0
run0190,det_h0-7,1.1769,0.0699254,0
run0190,det_h1-0,6.63787e-11,0.0489329,0
run0190,det_h1-1,0.692552,0.206629,0
run0190,det_h1-2,0.676795,0.187443,0
run0190,det_h1-3,0.407324,0.281712,0
run0190,det_h1-4,1.60947,0.14413,0
run0191,det_h0-0,1.33895e-13,0.00111021,0
run0191,det_h0-1,1.50203,0.0691219,0
run0191,det_h0-2,4.00565e-09,0.0313044,0
run0191,det_h0-3,0.897384,0.109651,0
run0191,det_h0-4,1.24618,0.0695615,0
run0191,det_h0-5,0.663139,1.51712,0
run0191,det_h0-6,1.26155,0.0652284,0
run0191,det_h0-7,0.0307806,0.0425238,0
run0191,det_h1-0,8.55367e-10,0.016169,0
run0191,det_h1-1,2.07006e-11,0.00869488,0
run0191,det_h1-2,0.0617567,0.083969,0
run0191,det_h1-3,3.17933e-10,0.0240108,0
run0191,det_h1-4,1.79302,0.0840351,0
run0192,det_h0-0,0.869013,0.163242,0
run0192,det_h0-1,4.91043e-11,0.0225452,0
run0192,det_h0-2,0.579122,0.0848607,0
run0192,det_h0-3,1.24061,0.0687646,0
run0192,det_h0-4,1.22369,0.140537,0
run0192,det_h0-5,0.000372013,12.6951,0
run0192,det_h0-6,1.37894,0.0660003,0
run0192,det_h0-7,0.417741,0.113159,0
run0192,det_h1-0,1.09059e-11,0.0199173,0
run0192,det_h1-1,2.01995e-11,0.00737362,0
run0192,det_h1-2,2.62181e-10,0.0117281,0
run0192,det_h1-3,3.6846e-11,0.0220116,0
run0192,det_h1-4,0.986624,0.229517,0
run0193,det_h0-0,0.951358,0.0505263,0
run0193,det_h0-1,0.300046,0.0549813,0
run0193,det_h0-2,0.462077,0.0403538,0
run0193,det_h0-3,2.53283e-09,0.0164576,0
run0193,det_h0-4,0.692117,0.0889689,0
run0193,det_h0-5,1.18829,0.0654764,0
run0193,det_h0-6,0.829894,0.0495188,0
run0193,det_h0-7,0.782174,0.0415472,0
run0193,det_h1-0,0.820162,0.0434777,0
run0193,det_h1-1,0.697204,0.0536191,0
run0193,det_h1-2,3.70404e-12,0.050939,0
run0193,det_h1-3,1.21625e-12,0.00951899,0
run0193,det_h1-4,1.09211,0.0502252,0
run0194,det_h0-0,5.18556e-12,0.00705767,0
run0194,det_h0-1,4.63315e-12,0.00632204,1
run0194,det_h0-2,0.33422,0.0310428,0
run0194,det_h0-3,0.653162,0.0535125,0
run0194,det_h0-4,0.524699,0.0413895,0
run0194,det_h0-5,0.512059,0.144165,0
run0194,det_h0-6,0.568663,0.0601863,0
run0194,det_h0-7,0.538537,0.042295,0
run0194,det_h1-0,0.515796,0.041128,0
run0194,det_h1-1,0.400629,0.0318546,0
run0194,det_h1-2,3.02226e-13,0.00274507,0
run0194,det_h1-3,6.57415e-10,0.013566,0
run0194,det_h1-4,0.694199,0.0515071,0
run0195,det_h0-0,0.317989,0.0282237,0
run0195,det_h0-1,0.457776,0.031966,0
run0195,det_h0-2,0.196309,0.0210947,0
run0195,det_h0-3,0.391288,0.0345632,0
run0195,det_h0-4,0.462115,0.0381474,0
run0195,det_h0-5,1.59505e-11,0.0105286,0
run0195,det_h0-6,0.306486,0.0322136,0
run0195,det_h0-7,0.29261,0.0879363,0
run0195,det_h1-0,0.282022,0.0371153,0
run0195,det_h1-1,0.285402,0.023975,0
run0195,det_h1-2,2.17861e-12,0.00146011,0
run0195,det_h1-3,2.42518e-12,0.00290032,0
run0195,det_h1-4,0.471827,0.0503855,0
run0196,det_h0-0,0.300954,0.0212972,0
run0196,det_h0-1,0.376533,0.0260156,0
run0196,det_h0-2,0.177265,0.016819,0
run0196,det_h0-3,0.298659,0.0202953,0
run0196,det_h0-4,0.346771,0.0205107,0
run0196,det_h0-5,0.373775,0.0352428,0
run0196,det_h0-6,3.59959e-12,0.00687616,1
run0196,det_h0-7,0.360351,0.0248377,0
run0196,det_h1-0,0.27175,0.0232475,0
run0196,det_h1-1,0.267689,0.0158675,0
run0196,det_h1-2,0.221441,0.00922727,0
run0196,det_h1-3,0.281914,0.0199767,0
run0196,det_h1-4,0.419425,0.0231134,0
run0197,det_h0-0,0.364094,0.0167074,0
run0197,det_h0-1,0.439617,0.0207068,0
run0197,det_h0-2,0.147572,0.0284997,0
run0197,det_h0-3,0.291907,0.0257897,0
run0197,det_h0-4,0.339958,0.0215754,0
run0197,det_h0-5,0.349022,0.0358611,0
run0197,det_h0-6,0.401184,0.0242421,0
run0197,det_h0-7,0.356112,0.0215349,0
run0197,det_h1-0,0.359818,0.0213754,0
run0197,det_h1-1,0.28894,0.0136502,0
run0197,det_h1-2,0.231249,0.0107239,0
run0197,det_h1-3,0.335935,0.0222691,0
run0197,det_h1-4,0.451074,0.022152,0
run0198,det_h0-0,0.589306,0.0272708,0
run0198,det_h0-1,0.671789,0.0321504,0
run0198,det_h0-2,0.279931,0.0214792,0
run0198,det_h0-3,0.449892,0.0409287,0
run0198,det_h0-4,0.537724,0.0318339,0
run0198,det_h0-5,0.632095,0.0481236,0
run0198,det_h0-6,0.535587,0.0371983,0
run0198,det_h0-7,0.426056,0.0359481,0
run0198,det_h1-0,0.510873,0.0273128,0
run0198,det_h1-1,0.380585,0.0205046,0
run0198,det_h1-2,0.363751,0.0343773,0
run0198,det_h1-3,0.602992,0.033768,0
run0198,det_h1-4,0.762465,0.0308006,0
run0199,det_h0-0,1.10647,0.0388195,0
run0199,det_h0-1,1.12917,0.0405053,0
run0199,det_h0-2,0.449668,0.0768852,0
run0199,det_h0-3,0.831848,0.0371194,0
run0199,det_h0-4,0.909249,0.0401943,0
run0199,det_h0-5,0.817837,0.110409,0
run0199,det_h0-6,1.05792,0.0447415,0
run0199,det_h0-7,0.906571,0.0381966,0
run0199,det_h1-0,0.885704,0.059265,0
run0199,det_h1-1,0.728579,0.0410016,0
run0199,det_h1-2,9.70923e-11,0.0152056,0
run0199,det_h1-3,3.10295e-10,0.16314,0
run0199,det_h1-4,1.21662,0.0447953,0
run0200,det_h0-0,6.21883e-12,0.0105265,0
run0200,det_h0-1,0.391545,0.0437945,0
run0200,det_h0-2,2.33445e-10,0.0128086,0
run0200,det_h0-3,0.435711,0.0653257,0
run0200,det_h0-4,0.266177,0.0434608,0
run0200,det_h0-5,0.12094,0.0738693,0
run0200,det_h0-6,0.203231,0.0695685,0
run0200,det_h0-7,0.283749,0.0597426,0
run0200,det_h1-0,1.85068e-11,0.00133229,0
run0200,det_h1-1,0.225607,0.0380913,0
run0200,det_h1-2,0.246097,0.0200726,0
run0200,det_h1-3,0.30727,0.0427908,0
run0200,det_h1-4,0.418439,0.0367957,0
run0201,det_h0-0,3.33634e-10,0.00789809,0
run0201,det_h0-1,0.584291,0.0808835,0
run0201,det_h0-2,0.208306,0.0535464,0
run0201,det_h0-3,0.382086,0.0613978,0
run0201,det_h0-4,0.415722,0.115009,0
run0201,det_h0-5,0.301828,0.078108,0
run0201,det_h0-6,0.594013,0.0535114,0
run0201,det_h0-7,0.389668,0.0427318,0
run0201,det_h1-0,0.35952,0.0396982,0
run0201,det_h1-1,1.16942e-10,0.010056,0
run0201,det_h1-2,0.0578417,0.078327,0
run0201,det_h1-3,0.0214276,0.0123167,0
run0201,det_h1-4,0.511292,0.099065,0
run0202,det_h0-0,0.542505,0.0350042,0
run0202,det_h0-1,0.638108,0.0236691,0
run0202,det_h0-2,0.347326,0.0179782,0
run0202,det_h0-3,1.6907e-12,0.00768197,0
run0202,det_h0-4,0.49764,0.0300696,0
run0202,det_h0-5,0.594441,0.0289603,0
run0202,det_h0-6,0.570953,0.0205179,0
run0202,det_h0-7,0.506898,0.0228661,0
run0202,det_h1-0,4.35227e-11,0.00485513,0
run0202,det_h1-1,0.356461,0.0750525,1
run0202,det_h1-2,8.73767e-05,0.541981,0
run0202,det_h1-3,0.612519,0.0285694,0
run0202,det_h1-4,0.686268,0.0319352,0
run0203,det_h0-0,0.705071,0.043247,0
run0203,det_h0-1,0.874575,0.0769915,0
run0203,det_h0-2,0.269867,0.0767582,0
run0203,det_h0-3,0.813552,0.0330823,0
run0203,det_h0-4,0.943001,0.0276338,0
run0203,det_h0-5,1.11631,0.0318061,0
run0203,det_h0-6,0.909814,0.0439732,0
run0203,det_h0-7,2.71175e-10,0.00399738,0
run0203,det_h1-0,0.826246,0.027564,0
run0203,det_h1-1,0.303469,0.262982,0
run0203,det_h1-2,0.108093,0.0259584,0
run0203,det_h1-3,3.00362e-12,0.00916511,0
run0203,det_h1-4,1.15131,0.0426846,0
run0204,det_h0-0,2.06253e-12,0.00648512,0
run0204,det_h0-1,2.76156e-12,0.00749407,0
run0204,det_h0-2,0.398534,0.109103,0
run0204,det_h0-3,6.70905e-09,0.0257994,0
run0204,det_h0-4,1.98187,0.0801734,0
run0204,det_h0-5,1.54341,0.312268,0
run0204,det_h0-6,1.20952,0.116238,0
run0204,det_h0-7,0.836793,0.219626,0
run0204,det_h1-0,1.93167,0.0412196,0
run0204,det_h1-1,2.25522e-11,0.00738007,0
run0204,det_h1-2,0.607783,0.152903,0
run0204,det_h1-3,0.422075,0.240216,0
run0204,det_h1-4,1.9342,0.190735,0
run0205,det_h0-0,0.842534,0.0935574,0
run0205,det_h0-1,2.18714,0.109025,0
run0205,det_h0-2,0.0117556,0.0284812,0
run0205,det_h0-3,1.50918,0.0414686,0
run0205,det_h0-4,1.70013e-11,0.0434047,0
run0205,det_h0-5,1.77343,0.0480353,0
run0205,det_h0-6,1.74051,0.0501773,0
run0205,det_h0-7,0.879553,0.148456,0
run0205,det_h1-0,0.898084,0.130047,0
run0205,det_h1-1,5.29505e-15,0.00309879,0
run0205,det_h1-2,0.179378,0.0413376,0
run0205,det_h1-3,0.495069,0.248402,0
run0205,det_h1-4,2.18525,0.0589594,0
run0206,det_h0-0,2.2313,0.0356599,0
run0206,det_h0-1,2.54512,0.0283483,0
run0206,det_h0-2,1.44826e-13,0.00176989,0
run0206,det_h0-3,1.20942,0.0753179,0
run0206,det_h0-4,1.46283,0.173879,0
run0206,det_h0-5,2.40318,0.0263001,1
run0206,det_h0-6,2.22982,0.0227759,1
run0206,det_h0-7,1.12137,0.0740002,0
run0206,det_h1-0,1.0893,0.0959771,0
run0206,det_h1-1,1.29612,0.0902587,0
run0206,det_h1-2,0.701623,0.141459,0
run0206,det_h1-3,1.08841,0.386396,0
run0206,det_h1-4,2.60444,0.0595975,0
run0207,det_h0-0,3.70591,0.040386,0
run0207,det_h0-1,4.22113,0.0378261,0
run0207,det_h0-2,1.60663,0.115776,0
